quality_setting,psnr_hvs_m,fsim,psnr,compression_ratio,source_file
9,45.24450696515388,0.9953508824891344,41.28695614867041,13.339982698081522,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
11,43.08848344769967,0.9922409708405052,40.40193303334701,17.24177847934754,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
8,46.57641324920738,0.996570684316313,41.868712648585216,11.390136867260482,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
7,48.197391256045165,0.997568882499082,42.62617426177664,9.449695396705238,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
10,44.08712461428561,0.9940077878263432,40.815721821906514,15.268448948686586,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
6,50.03969809748757,0.998264158726454,43.59314218883644,7.711251654655096,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
17,38.91981500804714,0.979103200474691,38.72035208340462,28.753317977404848,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
16,39.49546207290139,0.9814027774343802,38.94912851616891,26.90311986863711,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
14,40.665842565000496,0.9860900253562463,39.4314122377518,23.15555162971469,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
15,40.07145552468455,0.9836282374781654,39.19483564021996,24.96609523809524,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
13,41.37232573323245,0.9881099957119336,39.71774213708465,21.16795865633075,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
12,42.18803949373015,0.9904046436026815,40.04033833427269,19.173785839672323,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
22,36.77407589171901,0.9681149164577882,37.79725517378196,37.88208092485549,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
19,37.97657856740741,0.9746668292608076,38.32937744557384,32.45963348192174,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
21,37.16659786221826,0.9699659091310314,37.9731986213375,36.00879120879121,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
18,38.40234569545053,0.9767488336024404,38.50909889411024,30.64219754529515,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
20,37.57759024601291,0.9721192835209086,38.14807423063435,34.24480731548008,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
23,36.442387192869326,0.9667292255332794,37.63712195953725,39.652700045378914,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
25,35.813960328332314,0.9618517358922076,37.34055977598906,43.43728251864126,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
24,36.13080576660538,0.9642918664393276,37.49166481922519,41.53105196451204,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
28,35.01251567552266,0.957055543331538,36.94228391090724,48.48233771037544,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
29,34.71978070979576,0.95481073852678,36.78941604837467,50.53865432812801,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
27,35.28282467328338,0.9586637662301666,37.0766945962656,46.66975253694143,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
26,35.54981851404431,0.9601947863584508,37.21135595480187,45.02645139127448,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
33,33.80221482913959,0.9466332067928636,36.29708845608623,58.357969723953694,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
31,34.21992758778886,0.9509713552480832,36.5308799808482,54.42059373053768,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
30,34.466669541850024,0.9528227824078715,36.65546052763466,52.46027616569942,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
35,33.421945439492006,0.9440682033293212,36.0842383479828,61.94328922495274,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
34,33.60544909694315,0.9453659314765228,36.1876779181024,60.193800229621125,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
32,34.03400408323043,0.9487882343215354,36.42423701686234,56.39931153184165,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
39,32.68661144712043,0.9358892219185396,35.663067982676054,69.9237129901307,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
37,33.04232503468565,0.9393077144033436,35.86394669585317,65.89844142785319,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
38,32.861335880244525,0.938067760983672,35.76336402930795,67.87778353184878,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
36,33.23965342961864,0.9425626815212794,35.98018731328027,63.87524366471735,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
40,32.519187122131335,0.9350421895034492,35.565583846778246,71.78094194961665,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
41,32.33082840954812,0.9336217888769408,35.45291971378306,73.82258518727119,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
42,32.194040572070406,0.9325728924049228,35.37439408185874,75.50230414746544,NORMAL2-IM-0332-0001.raw_metrics_results_adct.csv
10,44.60390645206977,0.9876223362853946,43.737464621651576,24.547616818054124,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
7,47.77025293903692,0.9940183891364734,45.234952456314346,17.08669013166471,NORMAL2-IM-0052-0001.raw_metrics_results_adct.csv
