quality_setting,psnr_hvs_m,fsim,psnr,compression_ratio
10,47.56399964769937,0.9990108620464002,44.26574173254882,12.68508386001742
9,48.7086362675786,0.9991400484558963,44.87279690978825,11.91225200285223
11,46.505452904828395,0.9988615411956793,43.70177092383912,13.456845696415456
8,50.07152693790532,0.9992749534916028,45.54674543908506,11.10307484801689
6,53.197718255541645,0.9994937574311035,47.06897846176744,9.424257507881201
7,51.49706753996445,0.9993903420084628,46.26164792883369,10.281659546738107
15,43.06055803497869,0.9981489169029437,41.79031017877365,16.407175250584938
16,42.42241423309456,0.997963183974278,41.39602555746481,17.140960255907295
12,45.532987187339835,0.9987074607466111,43.188698956117186,14.194676996126452
14,43.83828801779675,0.9983670172143618,42.23147663689858,15.681510725822037
17,41.79145512261173,0.9977377348963427,41.02579671130393,17.858827228423205
13,44.6493659793242,0.9985232741725739,42.703769808123965,14.928903724340946
21,39.618125829801194,0.9967426299925327,39.712329865234175,20.66431403936406
18,41.20597953055079,0.9975003424100342,40.67953590396672,18.54572762595096
20,40.08838234036871,0.9969680004947099,40.013189640318664,19.947322212467075
22,39.175692173359245,0.9964951815481472,39.425513754901175,21.367039085129594
19,40.656822146587395,0.9972502083212965,40.345297890757045,19.25097441111676
23,38.695342875401096,0.9962036585606135,39.137667758528636,22.046266107747243
28,36.76226630042,0.9946111242983874,37.92008972297481,25.454871381195662
24,38.280991222010016,0.9959203429186024,38.884595044586185,22.72636338174689
29,36.39163338748585,0.9942221910942148,37.69217746514262,26.128156768940613
27,37.11867234391125,0.9950051747294936,38.15164231378717,24.769962060093324
25,37.859232890583584,0.9956565024665402,38.62254674915565,23.382183434875678
26,37.50050767350488,0.9954030836632022,38.39006244635256,24.05556496696595
31,35.76754963458154,0.9934939730573228,37.27392207783703,27.45022230813841
32,35.50628081441539,0.9931207346572583,37.09071028456713,28.113244901999604
30,36.07276598340794,0.9938821014268991,37.47559951295189,26.803831815393327
34,34.94557887747594,0.992381563559262,36.72030794411603,29.468223086900128
35,34.687471854562254,0.9920934944821168,36.54831777692401,30.1374224014432
33,35.21167611863238,0.9927339730949797,36.903243453138,28.80908906471901
41,33.22294646815977,0.9897375974441708,35.559095932606375,34.159249458744284
37,34.15591871090587,0.9912989630813871,36.19933021072085,31.49955634427684
38,33.904864050700795,0.9908720505333989,36.01831041194779,32.250738133091076
39,33.71201685984962,0.99056489209548,35.888224053575605,32.836166030755
40,33.45450310592069,0.9901671237813644,35.71463169022711,33.518234391596835
36,34.40863108128341,0.9917044544180139,36.367292655238884,30.837721917585103
42,32.9991865136017,0.9893154219010541,35.40572752270789,34.88300681692563
