quality_setting,psnr_hvs_m,fsim,psnr,compression_ratio
7,48.35644681128993,0.9991921489269618,44.04869970993391,7.0536224325062715
6,49.531084442639354,0.9993591450246907,45.04800541679696,6.035169739148913
11,42.71085323355544,0.9982453527143028,40.65395165903539,11.136381460277626
10,43.69777266140298,0.9985244259476082,41.428525021047875,10.01322168356104
9,44.17094676688809,0.998765537065626,42.14244831912403,9.036096660780476
8,45.516760964012065,0.9989797452481971,42.989038843462865,8.002141418125978
12,41.78554909185583,0.9979796629180969,40.08196603313841,12.062521236833163
15,39.14185571059255,0.996915680023343,38.482170999379946,15.256513564329842
13,41.20669956331089,0.9976927344339345,39.50994105164196,13.15667562308904
14,40.028495167863724,0.9974220121372713,38.99158929772999,14.080666352661197
16,38.574095600086515,0.9965146681244302,38.166658744534516,16.146914176876937
17,37.95433805239342,0.9960006800547205,37.83316350970599,17.270737046947215
19,36.71305930312475,0.994854509222712,37.06076981133996,19.33946203609125
20,36.16867222901112,0.9944526710248951,36.81968424341784,20.073508623126944
18,37.64092286760244,0.9956804334994104,37.503925131209314,18.185310879170135
21,35.45607542438068,0.9935631246772852,36.409754819029466,21.2710182376512
22,35.03023803883611,0.9929199366916119,36.08129288807124,22.285871228469414
23,34.6039151843764,0.9925063761100364,35.802581521166545,23.301608139153267
24,33.94368442883447,0.9918565880383031,35.47730056019152,24.59619798207249
26,33.121558046364186,0.9904202127246786,35.00222515638097,26.51974974320665
25,33.79196029758789,0.9916957927860196,35.39118264452068,24.994499449944996
28,32.443703649547665,0.9889201278238074,34.53858031270122,28.64058087938685
29,32.13501584954432,0.9880753480972588,34.31362569288214,29.710220734386443
27,32.94180473457847,0.9901150763021117,34.87450781974436,27.018027874232985
30,31.854029535579432,0.9875293550165121,34.12577913804486,30.76423116503277
32,31.34812511393211,0.9859766214968632,33.77340356883656,32.3499259596765
33,30.966654799087053,0.9851806377587065,33.56030441227877,33.5637889263133
31,31.735148865307092,0.9872339444521471,34.03484597587412,31.280978081286484
34,30.655715231063695,0.9843065062053281,33.359768844650375,34.518383470069885
35,30.302559511254167,0.9831542630163844,33.12191698100791,35.680633205603364
36,29.9719550271487,0.9821820451065296,32.90841896407863,37.0177267987487
37,29.9719550271487,0.9821820451065296,32.90841896407863,37.0177267987487
40,29.0214174572467,0.9787841282224791,32.24048969758671,40.2323275251452
39,29.0214174572467,0.9787841282224791,32.24048969758671,40.2323275251452
38,29.474335128430926,0.9805644450913423,32.56408725811386,38.62894450489663
41,28.79891607698211,0.9776460235011545,32.051295981047986,41.62391909717133
42,28.38981362375153,0.9761078845502479,31.76334719113885,43.63859864781807
