,quality_setting,psnr_hvs_m,fsim,psnr,compression_ratio,source_file
0,10,47.0886844026594,0.998839196993172,42.53622929724614,9.11519872040057,p64-512.raw_metrics_results_adct.csv
1,7,51.39488794980743,0.9993225525961792,44.97331830009511,7.159861251468058,p64-512.raw_metrics_results_adct.csv
2,9,48.35602497839525,0.999017486890962,43.26221653320383,8.462263541868422,p64-512.raw_metrics_results_adct.csv
3,11,46.02862170377371,0.998615217758596,41.8912943258708,9.769098904375047,p64-512.raw_metrics_results_adct.csv
4,6,53.16480022902304,0.999442635774964,46.01877444707529,6.4970754436403295,p64-512.raw_metrics_results_adct.csv
5,8,49.89530180233707,0.999167737965164,44.07058420030992,7.815162627075693,p64-512.raw_metrics_results_adct.csv
6,16,41.72164578477222,0.997293279480831,39.38528777067469,13.028378311217136,p64-512.raw_metrics_results_adct.csv
7,14,43.17063965866251,0.9978887364964076,40.25596839074549,11.724841220144915,p64-512.raw_metrics_results_adct.csv
8,13,44.08749263172628,0.9981718481825552,40.76146386331824,11.061861760486115,p64-512.raw_metrics_results_adct.csv
9,12,44.99944849900909,0.998400472647583,41.30222090186579,10.405017067555768,p64-512.raw_metrics_results_adct.csv
10,15,42.45229733340587,0.997629523490378,39.81520507732662,12.366449665062742,p64-512.raw_metrics_results_adct.csv
11,17,41.05220872893464,0.9969987984346602,39.00536305715317,13.670421360033377,p64-512.raw_metrics_results_adct.csv
12,21,38.67644733581968,0.995272543404761,37.62224231481145,16.425062656641604,p64-512.raw_metrics_results_adct.csv
13,18,40.35877877168926,0.9966277042743746,38.62426326281663,14.35383014838745,p64-512.raw_metrics_results_adct.csv
14,19,39.788067847101296,0.9961967384792358,38.27873833251488,15.030330829654265,p64-512.raw_metrics_results_adct.csv
15,23,37.70212138079231,0.9942486000956472,37.06462833107011,17.7640441824219,p64-512.raw_metrics_results_adct.csv
16,20,39.204202712196825,0.995828471744432,37.9349138293571,15.71418295168445,p64-512.raw_metrics_results_adct.csv
17,22,38.16660030933068,0.994781169980309,37.34367661904254,17.087803924124895,p64-512.raw_metrics_results_adct.csv
18,24,37.28583127732959,0.9936353665570948,36.809683628386615,18.429696287964006,p64-512.raw_metrics_results_adct.csv
19,25,36.87851142124482,0.9930906490869716,36.55965129806592,19.13599532812614,p64-512.raw_metrics_results_adct.csv
20,26,36.43579867522063,0.9924898334766212,36.2996143908029,19.87143723468769,p64-512.raw_metrics_results_adct.csv
21,29,35.31955631970967,0.9906179149477324,35.65863733495222,21.98272536687631,p64-512.raw_metrics_results_adct.csv
22,28,35.66278990757907,0.9912045603259052,35.85966189613132,21.283104652106843,p64-512.raw_metrics_results_adct.csv
23,27,36.02461914664508,0.9918466130448266,36.07446619402927,20.58291457286432,p64-512.raw_metrics_results_adct.csv
24,30,35.00351444431247,0.9901887566281026,35.45389812684419,22.67877844104161,p64-512.raw_metrics_results_adct.csv
25,32,34.37968608013624,0.988600265436152,35.07287139289339,24.10519540229885,p64-512.raw_metrics_results_adct.csv
26,33,34.07962300067821,0.9879911746743164,34.87660778055944,24.878428395178894,p64-512.raw_metrics_results_adct.csv
27,34,33.81350977231415,0.9871711379806788,34.71889224560008,25.57252950931617,p64-512.raw_metrics_results_adct.csv
28,31,34.70514158075709,0.9893825896950054,35.262815462143635,23.378578435744224,p64-512.raw_metrics_results_adct.csv
29,35,33.564084670235616,0.9865619174737364,34.546237628266404,26.298555377207062,p64-512.raw_metrics_results_adct.csv
30,36,33.29572197123096,0.9855866934523164,34.38628420975898,27.044671412359435,p64-512.raw_metrics_results_adct.csv
31,41,32.039810818018694,0.981187041547932,33.641434256148266,30.74281693444353,p64-512.raw_metrics_results_adct.csv
32,38,32.769533096582144,0.9840193078701516,34.07905432492009,28.509407286568788,p64-512.raw_metrics_results_adct.csv
33,40,32.307947749157044,0.9822937026015796,33.80094160958636,29.98330092645545,p64-512.raw_metrics_results_adct.csv
34,39,32.519309331249126,0.9829571016576474,33.937840265773666,29.224526198439243,p64-512.raw_metrics_results_adct.csv
